"Site","WL1","DateTime","Site","WL2","MeanWL"
"STRT1",248.425,2020-06-18 08:30:00,"STRT2",248.516,248.4705
"STRT1",248.418,2020-06-18 08:45:00,"STRT2",248.515,248.4665
"STRT1",248.425,2020-06-18 09:00:00,"STRT2",248.513,248.469
"STRT1",248.419,2020-06-18 09:15:00,"STRT2",248.514,248.4665
"STRT1",248.422,2020-06-18 09:30:00,"STRT2",248.511,248.4665
"STRT1",248.423,2020-06-18 09:45:00,"STRT2",248.512,248.4675
"STRT1",248.419,2020-06-18 10:00:00,"STRT2",248.514,248.4665
"STRT1",248.424,2020-06-18 10:15:00,"STRT2",248.51,248.467
"STRT1",248.425,2020-06-18 10:30:00,"STRT2",248.511,248.468
"STRT1",248.425,2020-06-18 10:45:00,"STRT2",248.509,248.467
"STRT1",248.42,2020-06-18 11:00:00,"STRT2",248.51,248.465
"STRT1",248.422,2020-06-18 11:15:00,"STRT2",248.512,248.467
"STRT1",248.42,2020-06-18 11:30:00,"STRT2",248.513,248.4665
"STRT1",248.426,2020-06-18 11:45:00,"STRT2",248.516,248.471
"STRT1",248.43,2020-06-18 12:00:00,"STRT2",248.519,248.4745
"STRT1",248.431,2020-06-18 12:15:00,"STRT2",248.521,248.476
"STRT1",248.437,2020-06-18 12:30:00,"STRT2",248.523,248.48
"STRT1",248.437,2020-06-18 12:45:00,"STRT2",248.529,248.483
"STRT1",248.433,2020-06-18 13:00:00,"STRT2",248.519,248.476
"STRT1",248.425,2020-06-18 13:15:00,"STRT2",248.518,248.4715
"STRT1",248.433,2020-06-18 13:30:00,"STRT2",248.521,248.477
"STRT1",248.435,2020-06-18 13:45:00,"STRT2",248.52,248.4775
"STRT1",248.435,2020-06-18 14:00:00,"STRT2",248.524,248.4795
"STRT1",248.431,2020-06-18 14:15:00,"STRT2",248.523,248.477
"STRT1",248.432,2020-06-18 14:30:00,"STRT2",248.52,248.476
"STRT1",248.433,2020-06-18 14:45:00,"STRT2",248.521,248.477
"STRT1",248.429,2020-06-18 15:00:00,"STRT2",248.521,248.475
"STRT1",248.426,2020-06-18 15:15:00,"STRT2",248.52,248.473
"STRT1",248.427,2020-06-18 15:30:00,"STRT2",248.522,248.4745
"STRT1",248.427,2020-06-18 15:45:00,"STRT2",248.521,248.474
"STRT1",248.429,2020-06-18 16:00:00,"STRT2",248.516,248.4725
"STRT1",248.427,2020-06-18 16:15:00,"STRT2",248.518,248.4725
"STRT1",248.426,2020-06-18 16:30:00,"STRT2",248.517,248.4715
"STRT1",248.428,2020-06-18 16:45:00,"STRT2",248.519,248.4735
"STRT1",248.428,2020-06-18 17:00:00,"STRT2",248.516,248.472
"STRT1",248.426,2020-06-18 17:15:00,"STRT2",248.52,248.473
"STRT1",248.427,2020-06-18 17:30:00,"STRT2",248.518,248.4725
"STRT1",248.424,2020-06-18 17:45:00,"STRT2",248.518,248.471
"STRT1",248.427,2020-06-18 18:00:00,"STRT2",248.521,248.474
"STRT1",248.427,2020-06-18 18:15:00,"STRT2",248.518,248.4725
"STRT1",248.424,2020-06-18 18:30:00,"STRT2",248.52,248.472
"STRT1",248.43,2020-06-18 18:45:00,"STRT2",248.52,248.475
"STRT1",248.428,2020-06-18 19:00:00,"STRT2",248.521,248.4745
"STRT1",248.427,2020-06-18 19:15:00,"STRT2",248.521,248.474
"STRT1",248.423,2020-06-18 19:30:00,"STRT2",248.52,248.4715
"STRT1",248.425,2020-06-18 19:45:00,"STRT2",248.518,248.4715
"STRT1",248.428,2020-06-18 20:00:00,"STRT2",248.518,248.473
"STRT1",248.431,2020-06-18 20:15:00,"STRT2",248.514,248.4725
"STRT1",248.428,2020-06-18 20:30:00,"STRT2",248.521,248.4745
"STRT1",248.43,2020-06-18 20:45:00,"STRT2",248.517,248.4735
"STRT1",248.429,2020-06-18 21:00:00,"STRT2",248.518,248.4735
"STRT1",248.429,2020-06-18 21:15:00,"STRT2",248.515,248.472
"STRT1",248.432,2020-06-18 21:30:00,"STRT2",248.515,248.4735
"STRT1",248.43,2020-06-18 21:45:00,"STRT2",248.513,248.4715
"STRT1",248.427,2020-06-18 22:00:00,"STRT2",248.514,248.4705
"STRT1",248.432,2020-06-18 22:15:00,"STRT2",248.518,248.475
"STRT1",248.435,2020-06-18 22:30:00,"STRT2",248.512,248.4735
"STRT1",248.432,2020-06-18 22:45:00,"STRT2",248.521,248.4765
"STRT1",248.435,2020-06-18 23:00:00,"STRT2",248.515,248.475
"STRT1",248.432,2020-06-18 23:15:00,"STRT2",248.517,248.4745
"STRT1",248.432,2020-06-18 23:30:00,"STRT2",248.518,248.475
"STRT1",248.429,2020-06-18 23:45:00,"STRT2",248.518,248.4735
"STRT1",248.432,2020-06-19 00:00:00,"STRT2",248.521,248.4765
"STRT1",248.435,2020-06-19 00:15:00,"STRT2",248.517,248.476
"STRT1",248.431,2020-06-19 00:30:00,"STRT2",248.519,248.475
"STRT1",248.438,2020-06-19 00:45:00,"STRT2",248.516,248.477
"STRT1",248.434,2020-06-19 01:00:00,"STRT2",248.519,248.4765
"STRT1",248.432,2020-06-19 01:15:00,"STRT2",248.521,248.4765
"STRT1",248.433,2020-06-19 01:30:00,"STRT2",248.518,248.4755
"STRT1",248.437,2020-06-19 01:45:00,"STRT2",248.516,248.4765
"STRT1",248.436,2020-06-19 02:00:00,"STRT2",248.518,248.477
"STRT1",248.431,2020-06-19 02:15:00,"STRT2",248.519,248.475
"STRT1",248.434,2020-06-19 02:30:00,"STRT2",248.519,248.4765
"STRT1",248.437,2020-06-19 02:45:00,"STRT2",248.522,248.4795
"STRT1",248.437,2020-06-19 03:00:00,"STRT2",248.521,248.479
"STRT1",248.44,2020-06-19 03:15:00,"STRT2",248.524,248.482
"STRT1",248.444,2020-06-19 03:30:00,"STRT2",248.525,248.4845
"STRT1",248.443,2020-06-19 03:45:00,"STRT2",248.53,248.4865
"STRT1",248.449,2020-06-19 04:00:00,"STRT2",248.529,248.489
"STRT1",248.448,2020-06-19 04:15:00,"STRT2",248.528,248.488
"STRT1",248.449,2020-06-19 04:30:00,"STRT2",248.535,248.492
"STRT1",248.448,2020-06-19 04:45:00,"STRT2",248.531,248.4895
"STRT1",248.446,2020-06-19 05:00:00,"STRT2",248.535,248.4905
"STRT1",248.449,2020-06-19 05:15:00,"STRT2",248.538,248.4935
"STRT1",248.455,2020-06-19 05:30:00,"STRT2",248.54,248.4975
"STRT1",248.453,2020-06-19 05:45:00,"STRT2",248.542,248.4975
"STRT1",248.461,2020-06-19 06:00:00,"STRT2",248.543,248.502
"STRT1",248.462,2020-06-19 06:15:00,"STRT2",248.547,248.5045
"STRT1",248.468,2020-06-19 06:30:00,"STRT2",248.549,248.5085
"STRT1",248.468,2020-06-19 06:45:00,"STRT2",248.549,248.5085
"STRT1",248.467,2020-06-19 07:00:00,"STRT2",248.548,248.5075
"STRT1",248.472,2020-06-19 07:15:00,"STRT2",248.549,248.5105
"STRT1",248.47,2020-06-19 07:30:00,"STRT2",248.551,248.5105
"STRT1",248.475,2020-06-19 07:45:00,"STRT2",248.556,248.5155
"STRT1",248.478,2020-06-19 08:00:00,"STRT2",248.559,248.5185
"STRT1",248.483,2020-06-19 08:15:00,"STRT2",248.56,248.5215
"STRT1",248.486,2020-06-19 08:30:00,"STRT2",248.56,248.523
"STRT1",248.481,2020-06-19 08:45:00,"STRT2",248.562,248.5215
"STRT1",248.484,2020-06-19 09:00:00,"STRT2",248.562,248.523
"STRT1",248.486,2020-06-19 09:15:00,"STRT2",248.566,248.526
"STRT1",248.488,2020-06-19 09:30:00,"STRT2",248.572,248.53
"STRT1",248.491,2020-06-19 09:45:00,"STRT2",248.568,248.5295
"STRT1",248.493,2020-06-19 10:00:00,"STRT2",248.571,248.532
"STRT1",248.494,2020-06-19 10:15:00,"STRT2",248.572,248.533
"STRT1",248.493,2020-06-19 10:30:00,"STRT2",248.574,248.5335
"STRT1",248.501,2020-06-19 10:45:00,"STRT2",248.579,248.54
"STRT1",248.502,2020-06-19 11:00:00,"STRT2",248.583,248.5425
"STRT1",248.509,2020-06-19 11:15:00,"STRT2",248.583,248.546
"STRT1",248.502,2020-06-19 11:30:00,"STRT2",248.583,248.5425
"STRT1",248.502,2020-06-19 11:45:00,"STRT2",248.585,248.5435
"STRT1",248.512,2020-06-19 12:00:00,"STRT2",248.589,248.5505
"STRT1",248.515,2020-06-19 12:15:00,"STRT2",248.586,248.5505
"STRT1",248.52,2020-06-19 12:30:00,"STRT2",248.593,248.5565
"STRT1",248.517,2020-06-19 12:45:00,"STRT2",248.597,248.557
"STRT1",248.52,2020-06-19 13:00:00,"STRT2",248.603,248.5615
"STRT1",248.527,2020-06-19 13:15:00,"STRT2",248.603,248.565
"STRT1",248.524,2020-06-19 13:30:00,"STRT2",248.6,248.562
"STRT1",248.528,2020-06-19 13:45:00,"STRT2",248.604,248.566
"STRT1",248.53,2020-06-19 14:00:00,"STRT2",248.605,248.5675
"STRT1",248.527,2020-06-19 14:15:00,"STRT2",248.605,248.566
"STRT1",248.529,2020-06-19 14:30:00,"STRT2",248.61,248.5695
"STRT1",248.533,2020-06-19 14:45:00,"STRT2",248.61,248.5715
"STRT1",248.538,2020-06-19 15:00:00,"STRT2",248.613,248.5755
"STRT1",248.536,2020-06-19 15:15:00,"STRT2",248.611,248.5735
"STRT1",248.54,2020-06-19 15:30:00,"STRT2",248.614,248.577
"STRT1",248.543,2020-06-19 15:45:00,"STRT2",248.614,248.5785
"STRT1",248.538,2020-06-19 16:00:00,"STRT2",248.619,248.5785
"STRT1",248.536,2020-06-19 16:15:00,"STRT2",248.619,248.5775
"STRT1",248.543,2020-06-19 16:30:00,"STRT2",248.619,248.581
"STRT1",248.546,2020-06-19 16:45:00,"STRT2",248.625,248.5855
"STRT1",248.543,2020-06-19 17:00:00,"STRT2",248.625,248.584
"STRT1",248.548,2020-06-19 17:15:00,"STRT2",248.621,248.5845
"STRT1",248.543,2020-06-19 17:30:00,"STRT2",248.622,248.5825
"STRT1",248.547,2020-06-19 17:45:00,"STRT2",248.622,248.5845
"STRT1",248.535,2020-06-19 18:00:00,"STRT2",248.624,248.5795
"STRT1",248.544,2020-06-19 18:15:00,"STRT2",248.62,248.582
"STRT1",248.547,2020-06-19 18:30:00,"STRT2",248.623,248.585
"STRT1",248.545,2020-06-19 18:45:00,"STRT2",248.626,248.5855
"STRT1",248.543,2020-06-19 19:00:00,"STRT2",248.624,248.5835
"STRT1",248.544,2020-06-19 19:15:00,"STRT2",248.625,248.5845
"STRT1",248.541,2020-06-19 19:30:00,"STRT2",248.622,248.5815
"STRT1",248.544,2020-06-19 19:45:00,"STRT2",248.622,248.583
"STRT1",248.542,2020-06-19 20:00:00,"STRT2",248.626,248.584
"STRT1",248.543,2020-06-19 20:15:00,"STRT2",248.623,248.583
"STRT1",248.54,2020-06-19 20:30:00,"STRT2",248.624,248.582
"STRT1",248.541,2020-06-19 20:45:00,"STRT2",248.621,248.581
"STRT1",248.539,2020-06-19 21:00:00,"STRT2",248.62,248.5795
"STRT1",248.532,2020-06-19 21:15:00,"STRT2",248.622,248.577
"STRT1",248.541,2020-06-19 21:30:00,"STRT2",248.621,248.581
"STRT1",248.543,2020-06-19 21:45:00,"STRT2",248.62,248.5815
"STRT1",248.543,2020-06-19 22:00:00,"STRT2",248.623,248.583
"STRT1",248.54,2020-06-19 22:15:00,"STRT2",248.623,248.5815
"STRT1",248.536,2020-06-19 22:30:00,"STRT2",248.622,248.579
"STRT1",248.538,2020-06-19 22:45:00,"STRT2",248.62,248.579
"STRT1",248.536,2020-06-19 23:00:00,"STRT2",248.619,248.5775
"STRT1",248.534,2020-06-19 23:15:00,"STRT2",248.62,248.577
"STRT1",248.535,2020-06-19 23:30:00,"STRT2",248.615,248.575
"STRT1",248.533,2020-06-19 23:45:00,"STRT2",248.616,248.5745
"STRT1",248.532,2020-06-20 00:00:00,"STRT2",248.615,248.5735
"STRT1",248.533,2020-06-20 00:15:00,"STRT2",248.607,248.57
"STRT1",248.53,2020-06-20 00:30:00,"STRT2",248.611,248.5705
"STRT1",248.531,2020-06-20 00:45:00,"STRT2",248.611,248.571
"STRT1",248.527,2020-06-20 01:00:00,"STRT2",248.608,248.5675
"STRT1",248.527,2020-06-20 01:15:00,"STRT2",248.61,248.5685
"STRT1",248.53,2020-06-20 01:30:00,"STRT2",248.61,248.57
"STRT1",248.526,2020-06-20 01:45:00,"STRT2",248.606,248.566
"STRT1",248.522,2020-06-20 02:00:00,"STRT2",248.603,248.5625
"STRT1",248.523,2020-06-20 02:15:00,"STRT2",248.601,248.562
"STRT1",248.522,2020-06-20 02:30:00,"STRT2",248.6,248.561
"STRT1",248.523,2020-06-20 02:45:00,"STRT2",248.604,248.5635
"STRT1",248.518,2020-06-20 03:00:00,"STRT2",248.603,248.5605
"STRT1",248.517,2020-06-20 03:15:00,"STRT2",248.602,248.5595
"STRT1",248.517,2020-06-20 03:30:00,"STRT2",248.602,248.5595
"STRT1",248.513,2020-06-20 03:45:00,"STRT2",248.596,248.5545
"STRT1",248.508,2020-06-20 04:00:00,"STRT2",248.594,248.551
"STRT1",248.514,2020-06-20 04:15:00,"STRT2",248.593,248.5535
"STRT1",248.515,2020-06-20 04:30:00,"STRT2",248.599,248.557
"STRT1",248.515,2020-06-20 04:45:00,"STRT2",248.598,248.5565
"STRT1",248.512,2020-06-20 05:00:00,"STRT2",248.595,248.5535
"STRT1",248.511,2020-06-20 05:15:00,"STRT2",248.595,248.553
"STRT1",248.511,2020-06-20 05:30:00,"STRT2",248.595,248.553
"STRT1",248.519,2020-06-20 05:45:00,"STRT2",248.596,248.5575
"STRT1",248.517,2020-06-20 06:00:00,"STRT2",248.598,248.5575
"STRT1",248.512,2020-06-20 06:15:00,"STRT2",248.603,248.5575
"STRT1",248.517,2020-06-20 06:30:00,"STRT2",248.602,248.5595
"STRT1",248.518,2020-06-20 06:45:00,"STRT2",248.602,248.56
"STRT1",248.521,2020-06-20 07:00:00,"STRT2",248.598,248.5595
"STRT1",248.517,2020-06-20 07:15:00,"STRT2",248.598,248.5575
"STRT1",248.511,2020-06-20 07:30:00,"STRT2",248.596,248.5535
"STRT1",248.518,2020-06-20 07:45:00,"STRT2",248.599,248.5585
"STRT1",248.526,2020-06-20 08:00:00,"STRT2",248.607,248.5665
"STRT1",248.53,2020-06-20 08:15:00,"STRT2",248.616,248.573
"STRT1",248.529,2020-06-20 08:30:00,"STRT2",248.615,248.572
"STRT1",248.526,2020-06-20 08:45:00,"STRT2",248.61,248.568
"STRT1",248.525,2020-06-20 09:00:00,"STRT2",248.608,248.5665
"STRT1",248.527,2020-06-20 09:15:00,"STRT2",248.61,248.5685
"STRT1",248.53,2020-06-20 09:30:00,"STRT2",248.613,248.5715
"STRT1",248.536,2020-06-20 09:45:00,"STRT2",248.62,248.578
"STRT1",248.535,2020-06-20 10:00:00,"STRT2",248.618,248.5765
"STRT1",248.54,2020-06-20 10:15:00,"STRT2",248.619,248.5795
"STRT1",248.543,2020-06-20 10:30:00,"STRT2",248.619,248.581
"STRT1",248.549,2020-06-20 10:45:00,"STRT2",248.628,248.5885
"STRT1",248.554,2020-06-20 11:00:00,"STRT2",248.635,248.5945
"STRT1",248.551,2020-06-20 11:15:00,"STRT2",248.642,248.5965
"STRT1",248.557,2020-06-20 11:30:00,"STRT2",248.638,248.5975
"STRT1",248.562,2020-06-20 11:45:00,"STRT2",248.642,248.602
"STRT1",248.562,2020-06-20 12:00:00,"STRT2",248.649,248.6055
"STRT1",248.57,2020-06-20 12:15:00,"STRT2",248.647,248.6085
"STRT1",248.573,2020-06-20 12:30:00,"STRT2",248.653,248.613
"STRT1",248.575,2020-06-20 12:45:00,"STRT2",248.655,248.615
"STRT1",248.579,2020-06-20 13:00:00,"STRT2",248.655,248.617
"STRT1",248.583,2020-06-20 13:15:00,"STRT2",248.655,248.619
"STRT1",248.583,2020-06-20 13:30:00,"STRT2",248.658,248.6205
"STRT1",248.594,2020-06-20 13:45:00,"STRT2",248.672,248.633
"STRT1",248.593,2020-06-20 14:00:00,"STRT2",248.671,248.632
"STRT1",248.596,2020-06-20 14:15:00,"STRT2",248.67,248.633
"STRT1",248.596,2020-06-20 14:30:00,"STRT2",248.674,248.635
"STRT1",248.598,2020-06-20 14:45:00,"STRT2",248.678,248.638
"STRT1",248.603,2020-06-20 15:00:00,"STRT2",248.68,248.6415
"STRT1",248.599,2020-06-20 15:15:00,"STRT2",248.682,248.6405
"STRT1",248.614,2020-06-20 15:30:00,"STRT2",248.687,248.6505
"STRT1",248.612,2020-06-20 15:45:00,"STRT2",248.686,248.649
"STRT1",248.613,2020-06-20 16:00:00,"STRT2",248.692,248.6525
"STRT1",248.618,2020-06-20 16:15:00,"STRT2",248.697,248.6575
"STRT1",248.616,2020-06-20 16:30:00,"STRT2",248.695,248.6555
"STRT1",248.623,2020-06-20 16:45:00,"STRT2",248.698,248.6605
"STRT1",248.628,2020-06-20 17:00:00,"STRT2",248.705,248.6665
"STRT1",248.623,2020-06-20 17:15:00,"STRT2",248.702,248.6625
"STRT1",248.634,2020-06-20 17:30:00,"STRT2",248.711,248.6725
"STRT1",248.64,2020-06-20 17:45:00,"STRT2",248.714,248.677
"STRT1",248.639,2020-06-20 18:00:00,"STRT2",248.715,248.677
"STRT1",248.639,2020-06-20 18:15:00,"STRT2",248.718,248.6785
"STRT1",248.642,2020-06-20 18:30:00,"STRT2",248.721,248.6815
"STRT1",248.648,2020-06-20 18:45:00,"STRT2",248.727,248.6875
"STRT1",248.647,2020-06-20 19:00:00,"STRT2",248.723,248.685
"STRT1",248.647,2020-06-20 19:15:00,"STRT2",248.725,248.686
"STRT1",248.654,2020-06-20 19:30:00,"STRT2",248.725,248.6895
"STRT1",248.652,2020-06-20 19:45:00,"STRT2",248.724,248.688
"STRT1",248.66,2020-06-20 20:00:00,"STRT2",248.735,248.6975
"STRT1",248.655,2020-06-20 20:15:00,"STRT2",248.73,248.6925
"STRT1",248.66,2020-06-20 20:30:00,"STRT2",248.734,248.697
"STRT1",248.656,2020-06-20 20:45:00,"STRT2",248.737,248.6965
"STRT1",248.662,2020-06-20 21:00:00,"STRT2",248.736,248.699
"STRT1",248.667,2020-06-20 21:15:00,"STRT2",248.735,248.701
"STRT1",248.658,2020-06-20 21:30:00,"STRT2",248.738,248.698
"STRT1",248.662,2020-06-20 21:45:00,"STRT2",248.738,248.7
"STRT1",248.664,2020-06-20 22:00:00,"STRT2",248.74,248.702
"STRT1",248.668,2020-06-20 22:15:00,"STRT2",248.747,248.7075
"STRT1",248.668,2020-06-20 22:30:00,"STRT2",248.744,248.706
"STRT1",248.679,2020-06-20 22:45:00,"STRT2",248.751,248.715
"STRT1",248.687,2020-06-20 23:00:00,"STRT2",248.755,248.721
"STRT1",248.692,2020-06-20 23:15:00,"STRT2",248.762,248.727
"STRT1",248.694,2020-06-20 23:30:00,"STRT2",248.77,248.732
"STRT1",248.701,2020-06-20 23:45:00,"STRT2",248.774,248.7375
"STRT1",248.723,2020-06-21 00:00:00,"STRT2",248.782,248.7525
"STRT1",248.719,2020-06-21 00:15:00,"STRT2",248.784,248.7515
"STRT1",248.721,2020-06-21 00:30:00,"STRT2",248.785,248.753
"STRT1",248.73,2020-06-21 00:45:00,"STRT2",248.794,248.762
"STRT1",248.749,2020-06-21 01:00:00,"STRT2",248.802,248.7755
"STRT1",248.75,2020-06-21 01:15:00,"STRT2",248.815,248.7825
"STRT1",248.783,2020-06-21 01:30:00,"STRT2",248.824,248.8035
"STRT1",248.789,2020-06-21 01:45:00,"STRT2",248.836,248.8125
"STRT1",248.792,2020-06-21 02:00:00,"STRT2",248.835,248.8135
"STRT1",248.792,2020-06-21 02:15:00,"STRT2",248.848,248.82
"STRT1",248.805,2020-06-21 02:30:00,"STRT2",248.856,248.8305
"STRT1",248.812,2020-06-21 02:45:00,"STRT2",248.869,248.8405
"STRT1",248.822,2020-06-21 03:00:00,"STRT2",248.882,248.852
"STRT1",248.844,2020-06-21 03:15:00,"STRT2",248.889,248.8665
"STRT1",248.852,2020-06-21 03:30:00,"STRT2",248.897,248.8745
"STRT1",248.864,2020-06-21 03:45:00,"STRT2",248.908,248.886
"STRT1",248.878,2020-06-21 04:00:00,"STRT2",248.93,248.904
"STRT1",248.886,2020-06-21 04:15:00,"STRT2",248.935,248.9105
"STRT1",248.898,2020-06-21 04:30:00,"STRT2",248.952,248.925
"STRT1",248.915,2020-06-21 04:45:00,"STRT2",248.961,248.938
"STRT1",248.933,2020-06-21 05:00:00,"STRT2",248.972,248.9525
