"Project","Site","Date","Time","Type","Location","Pick up date","depth","lat","lon","SampleID","nitrate isotopes","scint_frozen_yn","anions_yn","cations_yn","water isotopes","TNDOC_pour_yn","filtered_uM","spcond","T","sampled_by","comments","DateTime","year"
"DOD","STRT",2019-05-17,"20:00","stream","autosampler",2019-05-21,NA,NA,NA,"Stuart 5/21/19 21",NA,"n","y","y","n","Stuart 5/21/19 21",0.7,NA,NA,NA,NA,2019-05-17 20:00:00,2019
"DOD","VAUL",2019-05-17,"20:00","stream","autosampler",2019-05-30,NA,NA,NA,"Vault 8",NA,"n","y","y","n","Vault 5/30/19 8",0.7,NA,NA,NA,NA,2019-05-17 20:00:00,2019
"DOD","STRT",2019-05-18,"8:00","stream","autosampler",2019-05-21,NA,NA,NA,"Stuart 5/21/19 22",NA,"n","y","y","n","Stuart 5/21/19 22",0.7,NA,NA,NA,NA,2019-05-18 08:00:00,2019
"DOD","VAUL",2019-05-18,"20:00","stream","autosampler",2019-05-30,NA,NA,NA,"Vault 9",NA,"n","y","y","n","Vault 5/30/19 9",0.7,NA,NA,NA,NA,2019-05-18 20:00:00,2019
"DOD","VAUL",2019-05-19,"20:00","stream","autosampler",2019-05-30,NA,NA,NA,"Vault 10",NA,"n","y","y","n","Vault 5/30/19 10",0.7,NA,NA,NA,NA,2019-05-19 20:00:00,2019
"DOD","STRT",2019-05-20,"8:00","stream","autosampler",2019-05-21,NA,NA,NA,"Stuart 5/21/19 24",NA,"n","y","y","n","Stuart 5/21/19 24",0.7,NA,NA,NA,NA,2019-05-20 08:00:00,2019
"DOD","VAUL",2019-05-20,"20:00","stream","autosampler",2019-05-30,NA,NA,NA,"Vault 11",NA,"n","y","y","n","Vault 5/30/19 11",0.7,NA,NA,NA,NA,2019-05-20 20:00:00,2019
"DOD","POKE",2019-05-21,"20:00","stream","autosampler",NA,NA,NA,NA,"4557",NA,"n","y","y","n","4557",0.7,NA,NA,NA,NA,2019-05-21 20:00:00,2019
"DOD","POKE",2019-05-21,"17:30","stream","up stream of bridge at beach",NA,NA,NA,NA,"9235",NA,"n","y","y","n","n",0.7,NA,NA,NA,NA,2019-05-21 17:30:00,2019
"DOD","POKE",2019-05-21,"17:30","stream","up stream of bridge at beach",NA,NA,NA,NA,"13348",NA,"n","y","y","n","n",0.7,NA,NA,NA,NA,2019-05-21 17:30:00,2019
