"Site","DateTime","MeanDischarge","CRREL_Precip","Caribou_Precip","Precip","twentyfour","fourtyeight"
"POKE",2020-06-04 22:30:00,1002.56638099498,NA,NA,NA,0,0
"POKE",2020-06-04 22:45:00,993.354852500896,NA,NA,NA,0,0
"POKE",2020-06-04 23:00:00,991.277189344692,0,0,0,0,0
"POKE",2020-06-04 23:15:00,990.013138799288,NA,NA,NA,0,0
"POKE",2020-06-04 23:30:00,988.749088253826,NA,NA,NA,0,0
"POKE",2020-06-04 23:45:00,988.749088253826,NA,NA,NA,0,0
"POKE",2020-06-05 00:00:00,972.040519745671,0,0,0,0,0
"POKE",2020-06-05 00:15:00,976.195846058021,NA,NA,NA,0,0
"POKE",2020-06-05 00:30:00,958.223227004462,NA,NA,NA,0,0
"POKE",2020-06-05 00:45:00,953.617462757393,NA,NA,NA,0,0
"POKE",2020-06-05 01:00:00,938.986557405384,0,0,0,0,0
"POKE",2020-06-05 01:15:00,936.458456314518,NA,NA,NA,0,0
"POKE",2020-06-05 01:30:00,913.066460403148,NA,NA,NA,0,0
"POKE",2020-06-05 01:45:00,903.854931909067,NA,NA,NA,0,0
"POKE",2020-06-05 02:00:00,897.985117116594,0,0,0,0,0
"POKE",2020-06-05 02:15:00,882.090161219123,NA,NA,NA,0,0
"POKE",2020-06-05 02:30:00,877.484396972111,NA,NA,NA,0,0
"POKE",2020-06-05 02:45:00,869.086481088714,NA,NA,NA,0,0
"POKE",2020-06-05 03:00:00,859.874952594517,0,0,0,0,0
"POKE",2020-06-05 03:15:00,845.244047242682,NA,NA,NA,0,0
"POKE",2020-06-05 03:30:00,836.032518748485,NA,NA,NA,0,0
"POKE",2020-06-05 03:45:00,816.795849149406,NA,NA,NA,0,0
"POKE",2020-06-05 04:00:00,810.926034356991,0,0,0,0,0
"POKE",2020-06-05 04:15:00,799.636842706706,NA,NA,NA,0,0
"POKE",2020-06-05 04:30:00,797.108741615782,NA,NA,NA,0,0
"POKE",2020-06-05 04:45:00,800.45045531739,NA,NA,NA,0,0
"POKE",2020-06-05 05:00:00,795.844691070379,0,0,0,0,0
"POKE",2020-06-05 05:15:00,791.238926823309,NA,NA,NA,0,0
"POKE",2020-06-05 05:30:00,774.530358315154,NA,NA,NA,0,0
"POKE",2020-06-05 05:45:00,776.608021471358,NA,NA,NA,0,0
"POKE",2020-06-05 06:00:00,776.608021471358,0,0,0,0,0
"POKE",2020-06-05 06:15:00,775.794408860616,NA,NA,NA,0,0
"POKE",2020-06-05 06:30:00,782.477836263832,NA,NA,NA,0,0
"POKE",2020-06-05 06:45:00,785.005937354697,NA,NA,NA,0,0
"POKE",2020-06-05 07:00:00,822.215226007334,0,0,0,0,0
"POKE",2020-06-05 07:15:00,858.974076725252,NA,NA,NA,0,0
"POKE",2020-06-05 07:30:00,873.604982077086,NA,NA,NA,0,0
"POKE",2020-06-05 07:45:00,853.554699867324,NA,NA,NA,0,0
"POKE",2020-06-05 08:00:00,834.318030268361,0,0,0,0,0
"POKE",2020-06-05 08:15:00,839.737407126231,NA,NA,NA,0,0
"POKE",2020-06-05 08:30:00,823.84245122876,NA,NA,NA,0,0
"POKE",2020-06-05 08:45:00,830.07544069743,NA,NA,NA,0,0
"POKE",2020-06-05 09:00:00,806.683444785944,0,0,0,0,0
"POKE",2020-06-05 09:15:00,804.968956305878,NA,NA,NA,0,0
"POKE",2020-06-05 09:30:00,797.021478357143,NA,NA,NA,0,0
"POKE",2020-06-05 09:45:00,806.23300685134,NA,NA,NA,0,0
"POKE",2020-06-05 10:00:00,797.021478357143,0,0,0,0,0
"POKE",2020-06-05 10:15:00,807.046619462082,NA,NA,NA,0,0
"POKE",2020-06-05 10:30:00,815.807710021443,NA,NA,NA,0,0
"POKE",2020-06-05 10:45:00,802.440855215013,NA,NA,NA,0,0
"POKE",2020-06-05 11:00:00,792.415714110073,0,0,0,0,0
"POKE",2020-06-05 11:15:00,801.176804669609,NA,NA,NA,0,0
"POKE",2020-06-05 11:30:00,789.887613019207,NA,NA,NA,0,0
"POKE",2020-06-05 11:45:00,799.912754124147,NA,NA,NA,0,0
"POKE",2020-06-05 12:00:00,796.571040422423,0,0,0,0,0
"POKE",2020-06-05 12:15:00,807.046619462082,NA,NA,NA,0,0
"POKE",2020-06-05 12:30:00,815.807710021443,NA,NA,NA,0,0
"POKE",2020-06-05 12:45:00,812.465996319836,NA,NA,NA,0,0
"POKE",2020-06-05 13:00:00,817.885373177647,0,0,0,0,0
"POKE",2020-06-05 13:15:00,822.491137424775,NA,NA,NA,0,0
"POKE",2020-06-05 13:30:00,833.78032907506,NA,NA,NA,0,0
"POKE",2020-06-05 13:45:00,828.360952217248,NA,NA,NA,0,0
"POKE",2020-06-05 14:00:00,821.677524813917,1.27,1.524,1.397,1.397,1.397
"POKE",2020-06-05 14:15:00,829.62500276271,NA,NA,NA,1.397,1.397
"POKE",2020-06-05 14:30:00,827.547339606564,NA,NA,NA,1.397,1.397
"POKE",2020-06-05 14:45:00,852.203386063338,NA,NA,NA,1.397,1.397
"POKE",2020-06-05 15:00:00,836.758868100645,1.016,0.762,0.889,2.286,2.286
"POKE",2020-06-05 15:15:00,848.861672361731,NA,NA,NA,2.286,2.286
"POKE",2020-06-05 15:30:00,853.4674366088,NA,NA,NA,2.286,2.286
"POKE",2020-06-05 15:45:00,853.4674366088,NA,NA,NA,2.286,2.286
"POKE",2020-06-05 16:00:00,862.228527168161,0,0,0,2.286,2.286
"POKE",2020-06-05 16:15:00,858.886813466554,NA,NA,NA,2.286,2.286
"POKE",2020-06-05 16:30:00,858.886813466554,NA,NA,NA,2.286,2.286
"POKE",2020-06-05 16:45:00,862.228527168161,NA,NA,NA,2.286,2.286
"POKE",2020-06-05 17:00:00,870.176005116955,0.254,0,0.127,2.413,2.413
"POKE",2020-06-05 17:15:00,867.647904026089,NA,NA,NA,2.413,2.413
"POKE",2020-06-05 17:30:00,875.595381974708,NA,NA,NA,2.413,2.413
"POKE",2020-06-05 17:45:00,872.253668273101,NA,NA,NA,2.413,2.413
"POKE",2020-06-05 18:00:00,880.201146221778,0,0,0,2.413,2.413
"POKE",2020-06-05 18:15:00,886.070961014251,NA,NA,NA,2.413,2.413
"POKE",2020-06-05 18:30:00,887.335011559655,NA,NA,NA,2.413,2.413
"POKE",2020-06-05 18:45:00,904.857192678552,NA,NA,NA,2.413,2.413
"POKE",2020-06-05 19:00:00,892.754388417583,0,0,0,2.413,2.413
"POKE",2020-06-05 19:15:00,898.624203210056,NA,NA,NA,2.413,2.413
"POKE",2020-06-05 19:30:00,904.04358006781,NA,NA,NA,2.413,2.413
"POKE",2020-06-05 19:45:00,906.121243224014,NA,NA,NA,2.413,2.413
"POKE",2020-06-05 20:00:00,908.649344314879,0,0,0,2.413,2.413
"POKE",2020-06-05 20:15:00,909.462956925621,NA,NA,NA,2.413,2.413
"POKE",2020-06-05 20:30:00,912.804670627345,NA,NA,NA,2.413,2.413
"POKE",2020-06-05 20:45:00,920.752148575964,NA,NA,NA,2.413,2.413
"POKE",2020-06-05 21:00:00,920.752148575964,0,0,0,2.413,2.413
"POKE",2020-06-05 21:15:00,906.121243224014,NA,NA,NA,2.413,2.413
"POKE",2020-06-05 21:30:00,924.907474888314,NA,NA,NA,2.413,2.413
"POKE",2020-06-05 21:45:00,921.565761186706,NA,NA,NA,2.413,2.413
"POKE",2020-06-05 22:00:00,923.64342434291,0,0,0,2.413,2.413
"POKE",2020-06-05 22:15:00,921.115323252045,NA,NA,NA,2.413,2.413
"POKE",2020-06-05 22:30:00,914.431895848829,NA,NA,NA,2.413,2.413
"POKE",2020-06-05 22:45:00,913.167845303367,NA,NA,NA,2.413,2.413
"POKE",2020-06-05 23:00:00,923.192986408307,0,0,0,2.413,2.413
"POKE",2020-06-05 23:15:00,916.059121070255,NA,NA,NA,2.413,2.413
"POKE",2020-06-05 23:30:00,909.37569366704,NA,NA,NA,2.413,2.413
"POKE",2020-06-05 23:45:00,906.847592576174,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 00:00:00,888.874973522557,0,0,0,2.413,2.413
"POKE",2020-06-06 00:15:00,887.610922977154,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 00:30:00,889.688586133299,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 00:45:00,879.663445028476,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 01:00:00,871.715967079741,0,0,0,2.413,2.413
"POKE",2020-06-06 01:15:00,857.89867433859,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 01:30:00,842.454156375898,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 01:45:00,847.059920622909,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 02:00:00,833.242627881758,0,0,0,2.413,2.413
"POKE",2020-06-06 02:15:00,825.295149933023,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 02:30:00,813.555520348018,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 02:45:00,802.266328697791,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 03:00:00,795.13246335974,0,0,0,2.413,2.413
"POKE",2020-06-06 03:15:00,785.920934865659,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 03:30:00,762.528938954289,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 03:45:00,770.476416902966,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 04:00:00,762.528938954289,0,0,0,2.413,2.413
"POKE",2020-06-06 04:15:00,768.398753746762,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 04:30:00,768.398753746762,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 04:45:00,772.554080059112,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 05:00:00,751.239747303887,0,0,0,2.413,2.413
"POKE",2020-06-06 05:15:00,752.503797849349,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 05:30:00,748.711646213022,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 05:45:00,737.422454562795,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 06:00:00,724.869212366932,0,0,0,2.413,2.413
"POKE",2020-06-06 06:15:00,722.341111276066,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 06:30:00,707.710205924232,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 06:45:00,708.160643858777,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 07:00:00,734.080740861187,0,0,0,2.413,2.413
"POKE",2020-06-06 07:15:00,714.030458651425,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 07:30:00,727.397313457855,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 07:45:00,708.160643858777,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 08:00:00,720.26344811992,0,0,0,2.413,2.413
"POKE",2020-06-06 08:15:00,722.341111276066,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 08:30:00,714.393633327447,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 08:45:00,709.787869080377,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 09:00:00,700.57634058618,0,0,0,2.413,2.413
"POKE",2020-06-06 09:15:00,680.075620441814,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 09:30:00,681.339670987276,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 09:45:00,682.153283598018,NA,NA,NA,2.413,2.413
"POKE",2020-06-06 10:00:00,676.73390674009,0,0.254,0.127,2.54,2.54
"POKE",2020-06-06 10:15:00,685.131822623604,NA,NA,NA,2.54,2.54
"POKE",2020-06-06 10:30:00,685.131822623604,NA,NA,NA,2.54,2.54
"POKE",2020-06-06 10:45:00,695.156963728426,NA,NA,NA,2.54,2.54
"POKE",2020-06-06 11:00:00,693.442475248245,0.254,0,0.127,2.667,2.667
"POKE",2020-06-06 11:15:00,696.784188949852,NA,NA,NA,2.667,2.667
"POKE",2020-06-06 11:30:00,689.287148935895,NA,NA,NA,2.667,2.667
"POKE",2020-06-06 11:45:00,707.259767989512,NA,NA,NA,2.667,2.667
"POKE",2020-06-06 12:00:00,705.182104833366,0.508,0.508,0.508,3.175,3.175
"POKE",2020-06-06 12:15:00,707.259767989512,NA,NA,NA,3.175,3.175
"POKE",2020-06-06 12:30:00,701.389953197038,NA,NA,NA,3.175,3.175
"POKE",2020-06-06 12:45:00,704.731666898646,NA,NA,NA,3.175,3.175
"POKE",2020-06-06 13:00:00,712.228706912603,0,0,0,3.175,3.175
"POKE",2020-06-06 13:15:00,712.228706912603,NA,NA,NA,3.175,3.175
"POKE",2020-06-06 13:30:00,710.964656367141,NA,NA,NA,3.175,3.175
"POKE",2020-06-06 13:45:00,725.59556171915,NA,NA,NA,3.175,3.175
"POKE",2020-06-06 14:00:00,723.517898562946,1.016,0,0.508,2.286,3.683
"POKE",2020-06-06 14:15:00,735.62070282409,NA,NA,NA,2.286,3.683
"POKE",2020-06-06 14:30:00,734.807090213231,NA,NA,NA,2.286,3.683
"POKE",2020-06-06 14:45:00,746.096281863574,NA,NA,NA,2.286,3.683
"POKE",2020-06-06 15:00:00,741.940955551283,0,0,0,1.397,3.683
"POKE",2020-06-06 15:15:00,750.702046110644,NA,NA,NA,1.397,3.683
"POKE",2020-06-06 15:30:00,761.991237761045,NA,NA,NA,1.397,3.683
"POKE",2020-06-06 15:45:00,766.597002008057,NA,NA,NA,1.397,3.683
"POKE",2020-06-06 16:00:00,769.938715709664,0,0,0,1.397,3.683
"POKE",2020-06-06 16:15:00,767.861052553519,NA,NA,NA,1.397,3.683
"POKE",2020-06-06 16:30:00,779.150244203745,NA,NA,NA,1.397,3.683
"POKE",2020-06-06 16:45:00,782.491957905353,NA,NA,NA,1.397,3.683
"POKE",2020-06-06 17:00:00,787.097722152539,0,0,0,1.27,3.683
"POKE",2020-06-06 17:15:00,783.756008450815,NA,NA,NA,1.27,3.683
"POKE",2020-06-06 17:30:00,796.30925064662,NA,NA,NA,1.27,3.683
"POKE",2020-06-06 17:45:00,806.334391751443,NA,NA,NA,1.27,3.683
"POKE",2020-06-06 18:00:00,814.281869700237,0,0.254,0.127,1.397,3.81
"POKE",2020-06-06 18:15:00,810.940155998629,NA,NA,NA,1.397,3.81
"POKE",2020-06-06 18:30:00,810.940155998629,NA,NA,NA,1.397,3.81
"POKE",2020-06-06 18:45:00,828.912775052071,NA,NA,NA,1.397,3.81
"POKE",2020-06-06 19:00:00,825.571061350463,0,0,0,1.397,3.81
"POKE",2020-06-06 19:15:00,827.648724506667,NA,NA,NA,1.397,3.81
"POKE",2020-06-06 19:30:00,834.332151909999,NA,NA,NA,1.397,3.81
"POKE",2020-06-06 19:45:00,837.673865611607,NA,NA,NA,1.397,3.81
"POKE",2020-06-06 20:00:00,841.015579313214,0,0,0,1.397,3.81
"POKE",2020-06-06 20:15:00,842.279629858618,NA,NA,NA,1.397,3.81
"POKE",2020-06-06 20:30:00,851.040720418154,NA,NA,NA,1.397,3.81
"POKE",2020-06-06 20:45:00,857.724147821369,NA,NA,NA,1.397,3.81
"POKE",2020-06-06 21:00:00,858.988198366773,0,0,0,1.397,3.81
"POKE",2020-06-06 21:15:00,862.329912068381,NA,NA,NA,1.397,3.81
"POKE",2020-06-06 21:30:00,871.091002627916,NA,NA,NA,1.397,3.81
"POKE",2020-06-06 21:45:00,866.48523838073,NA,NA,NA,1.397,3.81
"POKE",2020-06-06 22:00:00,861.879474133661,0,0,0,1.397,3.81
"POKE",2020-06-06 22:15:00,857.273709886649,NA,NA,NA,1.397,3.81
"POKE",2020-06-06 22:30:00,850.590282483434,NA,NA,NA,1.397,3.81
"POKE",2020-06-06 22:45:00,865.221187835268,NA,NA,NA,1.397,3.81
"POKE",2020-06-06 23:00:00,862.693086744403,0,0,0,1.397,3.81
"POKE",2020-06-06 23:15:00,859.351373042795,NA,NA,NA,1.397,3.81
"POKE",2020-06-06 23:30:00,856.009659341187,NA,NA,NA,1.397,3.81
"POKE",2020-06-06 23:45:00,845.534080301702,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 00:00:00,830.903174949693,0,0,0,1.397,3.81
"POKE",2020-06-07 00:15:00,820.878033844871,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 00:30:00,822.955697001016,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 00:45:00,804.983077947458,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 01:00:00,798.299650544242,0,0,0,1.397,3.81
"POKE",2020-06-07 01:15:00,794.957936842518,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 01:30:00,782.40469464683,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 01:45:00,774.457216698152,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 02:00:00,757.298210255278,0,0,0,1.397,3.81
"POKE",2020-06-07 02:15:00,752.692446008266,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 02:30:00,738.061540656257,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 02:45:00,726.772349006031,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 03:00:00,727.585961616714,0,0,0,1.397,3.81
"POKE",2020-06-07 03:15:00,706.271628861548,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 03:30:00,700.401814069075,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 03:45:00,682.429195015458,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 04:00:00,687.034959262528,0,0,0,1.397,3.81
"POKE",2020-06-07 04:15:00,669.875952819653,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 04:30:00,668.611902274191,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 04:45:00,661.478036936314,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 05:00:00,653.530558987637,0,0,0,1.397,3.81
"POKE",2020-06-07 05:15:00,641.790929402574,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 05:30:00,643.054979947978,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 05:45:00,638.449215700966,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 06:00:00,627.160024050681,0,0,0,1.397,3.81
"POKE",2020-06-07 06:15:00,638.449215700966,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 06:30:00,638.899653635628,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 06:45:00,633.029838843155,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 07:00:00,615.05721978948,0,0,0,1.397,3.81
"POKE",2020-06-07 07:15:00,615.87083240028,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 07:30:00,612.078680764011,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 07:45:00,605.395253360795,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 08:00:00,604.131202815333,0,0,0,1.397,3.81
"POKE",2020-06-07 08:15:00,604.944815425959,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 08:30:00,604.944815425959,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 08:45:00,604.944815425959,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 09:00:00,600.339051179006,0,0,0,1.397,3.81
"POKE",2020-06-07 09:15:00,601.152663789631,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 09:30:00,592.391573230212,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 09:45:00,593.205185841129,NA,NA,NA,1.397,3.81
"POKE",2020-06-07 10:00:00,591.941135295667,0,0,0,1.27,3.81
"POKE",2020-06-07 10:15:00,587.335371048481,NA,NA,NA,1.27,3.81
"POKE",2020-06-07 10:30:00,598.624562698766,NA,NA,NA,1.27,3.81
"POKE",2020-06-07 10:45:00,597.360512153304,NA,NA,NA,1.27,3.81
"POKE",2020-06-07 11:00:00,572.704465696646,0,0,0,1.143,3.81
"POKE",2020-06-07 11:15:00,596.0964616079,NA,NA,NA,1.143,3.81
"POKE",2020-06-07 11:30:00,596.910074218758,NA,NA,NA,1.143,3.81
"POKE",2020-06-07 11:45:00,599.438175309624,NA,NA,NA,1.143,3.81
"POKE",2020-06-07 12:00:00,609.463316414563,0,0,0,0.635,3.81
"POKE",2020-06-07 12:15:00,604.043939556635,NA,NA,NA,0.635,3.81
"POKE",2020-06-07 12:30:00,620.75250806479,NA,NA,NA,0.635,3.81
"POKE",2020-06-07 12:45:00,615.333131207037,NA,NA,NA,0.635,3.81
"POKE",2020-06-07 13:00:00,614.069080661575,0,0,0,0.635,3.81
"POKE",2020-06-07 13:15:00,625.35827231186,NA,NA,NA,0.635,3.81
"POKE",2020-06-07 13:30:00,623.280609155714,NA,NA,NA,0.635,3.81
"POKE",2020-06-07 13:45:00,623.280609155714,NA,NA,NA,0.635,3.81
"POKE",2020-06-07 14:00:00,626.622322857322,0,0,0,0.127,2.413
"POKE",2020-06-07 14:15:00,629.150423948129,NA,NA,NA,0.127,2.413
"POKE",2020-06-07 14:30:00,635.020238740661,NA,NA,NA,0.127,2.413
"POKE",2020-06-07 14:45:00,650.915194638073,NA,NA,NA,0.127,2.413
"POKE",2020-06-07 15:00:00,635.020238740661,0,0,0,0.127,1.524
"POKE",2020-06-07 15:15:00,638.361952442385,NA,NA,NA,0.127,1.524
"POKE",2020-06-07 15:30:00,637.097901896923,NA,NA,NA,0.127,1.524
"POKE",2020-06-07 15:45:00,655.070520950423,NA,NA,NA,0.127,1.524
"POKE",2020-06-07 16:00:00,665.095662055362,0,0,0,0.127,1.524
"POKE",2020-06-07 16:15:00,650.464756703353,NA,NA,NA,0.127,1.524
"POKE",2020-06-07 16:30:00,671.779089458578,NA,NA,NA,0.127,1.524
"POKE",2020-06-07 16:45:00,667.623763146228,NA,NA,NA,0.127,1.524
"POKE",2020-06-07 17:00:00,667.623763146228,0,0,0,0.127,1.397
"POKE",2020-06-07 17:15:00,660.940335743013,NA,NA,NA,0.127,1.397
"POKE",2020-06-07 17:30:00,674.757628484163,NA,NA,NA,0.127,1.397
"POKE",2020-06-07 17:45:00,688.12448329071,NA,NA,NA,0.127,1.397
"POKE",2020-06-07 18:00:00,686.860432745249,0,0,0,0,1.397
"POKE",2020-06-07 18:15:00,696.07196123933,NA,NA,NA,0,1.397
"POKE",2020-06-07 18:30:00,704.833051798865,NA,NA,NA,0,1.397
"POKE",2020-06-07 18:45:00,693.994298083184,NA,NA,NA,0,1.397
"POKE",2020-06-07 19:00:00,704.019439188123,0,0,0,0,1.397
"POKE",2020-06-07 19:15:00,714.044580292946,NA,NA,NA,0,1.397
"POKE",2020-06-07 19:30:00,714.044580292946,NA,NA,NA,0,1.397
"POKE",2020-06-07 19:45:00,711.9669171368,NA,NA,NA,0,1.397
"POKE",2020-06-07 20:00:00,704.019439188123,0,0,0,0,1.397
