"","column_label","HI","Q_interval","storm.ID","site.ID","storm.num","response"
"Interpolated HI for 90% discharge...145","3",-0.606221407080747,90,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 92% discharge...146","3",-0.399651733091538,92,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 94% discharge...147","3",-0.240582368214977,94,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 96% discharge...148","3",0.0711474261220792,96,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 98% discharge...149","3",0.198656390388659,98,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 100% discharge...150","3",0.045491076948441,100,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 2% discharge...151","4",0.429026394036326,2,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 4% discharge...152","4",0.427631300818734,4,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 6% discharge...153","4",0.413659230866787,6,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 8% discharge...154","4",0.404732043459264,8,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 10% discharge...155","4",0.409445767512645,10,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 12% discharge...156","4",0.380000845511038,12,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 14% discharge...157","4",0.378323915279791,14,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 16% discharge...158","4",0.37974719219875,16,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 18% discharge...159","4",0.785613629637977,18,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 20% discharge...160","4",0.764905655059675,20,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 22% discharge...161","4",0.757662443808741,22,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 24% discharge...162","4",0.760149655454247,24,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 26% discharge...163","4",0.697574792497495,26,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 28% discharge...164","4",0.646181813057505,28,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 30% discharge...165","4",0.675161703986581,30,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 32% discharge...166","4",0.549180558882795,32,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 34% discharge...167","4",0.49268632949565,34,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 36% discharge...168","4",0.452848667615515,36,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 38% discharge...169","4",0.274389470569167,38,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 40% discharge...170","4",0.406986739568508,40,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 42% discharge...171","4",0.362646731395233,42,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 44% discharge...172","4",0.254970900328336,44,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 46% discharge...173","4",0.242668714682299,46,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 48% discharge...174","4",0.265412961684258,48,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 50% discharge...175","4",0.257739948987494,50,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 52% discharge...176","4",0.238229781717233,52,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 54% discharge...177","4",0.174865775122245,54,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 56% discharge...178","4",0.122225666896833,56,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 58% discharge...179","4",0.126044558431857,58,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 60% discharge...180","4",0.0737567464735173,60,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 62% discharge...181","4",0.0406197595930267,62,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 64% discharge...182","4",0.0786395727350822,64,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 66% discharge...183","4",0.0438538393247121,66,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 68% discharge...184","4",0.03519439708016,68,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 70% discharge...185","4",0.048377323393872,70,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 72% discharge...186","4",0.0452982540196889,72,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 74% discharge...187","4",-0.0257176274960207,74,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 76% discharge...188","4",-0.0605244986824125,76,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 78% discharge...189","4",-0.120999675887433,78,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 80% discharge...190","4",-0.0353000859602934,80,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 82% discharge...191","4",-0.0472288375632419,82,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 84% discharge...192","4",-0.0561278412693924,84,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 86% discharge...193","4",-0.0653932330932966,86,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
