"Site","Temp","AbsPTDepth","DateTime"
"MOOS",6.471,1.218,2019-06-01 11:15:00
"MOOS",6.471,1.232,2019-06-01 11:30:00
"MOOS",6.471,1.242,2019-06-01 11:45:00
"MOOS",6.471,1.258,2019-06-01 12:00:00
"MOOS",6.471,1.27,2019-06-01 12:15:00
"MOOS",6.471,1.284,2019-06-01 12:30:00
"MOOS",6.471,1.299,2019-06-01 12:45:00
"MOOS",6.471,1.317,2019-06-01 13:00:00
"MOOS",6.471,1.335,2019-06-01 13:15:00
"MOOS",6.37,1.348,2019-06-01 13:30:00
"MOOS",6.37,1.373,2019-06-01 13:45:00
"MOOS",6.37,1.403,2019-06-01 14:00:00
"MOOS",6.37,1.431,2019-06-01 14:15:00
"MOOS",6.37,1.455,2019-06-01 14:30:00
"MOOS",6.37,1.48,2019-06-01 14:45:00
"MOOS",6.37,1.519,2019-06-01 15:00:00
"MOOS",6.268,1.538,2019-06-01 15:15:00
"MOOS",6.268,1.566,2019-06-01 15:30:00
"MOOS",6.268,1.61,2019-06-01 15:45:00
"MOOS",6.268,1.623,2019-06-01 16:00:00
"MOOS",6.268,1.659,2019-06-01 16:15:00
"MOOS",6.268,1.68,2019-06-01 16:30:00
"MOOS",6.166,1.71,2019-06-01 16:45:00
"MOOS",6.166,1.73,2019-06-01 17:00:00
"MOOS",6.166,1.743,2019-06-01 17:15:00
"MOOS",6.166,1.769,2019-06-01 17:30:00
"MOOS",6.166,1.776,2019-06-01 17:45:00
"MOOS",6.064,1.793,2019-06-01 18:00:00
"MOOS",6.064,1.823,2019-06-01 18:15:00
"MOOS",6.064,1.848,2019-06-01 18:30:00
"MOOS",6.064,1.839,2019-06-01 18:45:00
"MOOS",6.064,1.876,2019-06-01 19:00:00
"MOOS",5.962,1.875,2019-06-01 19:15:00
"MOOS",5.962,1.89,2019-06-01 19:30:00
"MOOS",5.962,1.916,2019-06-01 19:45:00
"MOOS",5.962,1.93,2019-06-01 20:00:00
"MOOS",5.86,1.968,2019-06-01 20:15:00
"MOOS",5.86,1.946,2019-06-01 20:30:00
"MOOS",5.86,1.962,2019-06-01 20:45:00
"MOOS",5.86,1.96,2019-06-01 21:00:00
"MOOS",5.757,2.008,2019-06-01 21:15:00
"MOOS",5.757,1.998,2019-06-01 21:30:00
"MOOS",5.757,2.015,2019-06-01 21:45:00
"MOOS",5.655,2.016,2019-06-01 22:00:00
"MOOS",5.655,2.048,2019-06-01 22:15:00
"MOOS",5.655,2.07,2019-06-01 22:30:00
"MOOS",5.655,2.061,2019-06-01 22:45:00
"MOOS",5.552,2.072,2019-06-01 23:00:00
"MOOS",5.552,2.077,2019-06-01 23:15:00
"MOOS",5.552,2.079,2019-06-01 23:30:00
"MOOS",5.552,2.08,2019-06-01 23:45:00
"MOOS",5.45,2.1,2019-06-02 00:00:00
"MOOS",5.45,2.106,2019-06-02 00:15:00
"MOOS",5.45,2.109,2019-06-02 00:30:00
"MOOS",5.347,2.147,2019-06-02 00:45:00
"MOOS",5.347,2.122,2019-06-02 01:00:00
"MOOS",5.347,2.136,2019-06-02 01:15:00
"MOOS",5.347,2.133,2019-06-02 01:30:00
"MOOS",5.244,2.148,2019-06-02 01:45:00
"MOOS",5.244,2.144,2019-06-02 02:00:00
"MOOS",5.244,2.137,2019-06-02 02:15:00
"MOOS",5.244,2.113,2019-06-02 02:30:00
"MOOS",5.141,2.121,2019-06-02 02:45:00
"MOOS",5.141,2.129,2019-06-02 03:00:00
"MOOS",5.141,2.15,2019-06-02 03:15:00
"MOOS",5.141,2.108,2019-06-02 03:30:00
"MOOS",5.141,2.119,2019-06-02 03:45:00
"MOOS",5.037,2.15,2019-06-02 04:00:00
"MOOS",5.037,2.171,2019-06-02 04:15:00
"MOOS",5.037,2.142,2019-06-02 04:30:00
"MOOS",5.037,2.122,2019-06-02 04:45:00
"MOOS",4.934,2.101,2019-06-02 05:00:00
"MOOS",4.934,2.112,2019-06-02 05:15:00
"MOOS",4.934,2.106,2019-06-02 05:30:00
"MOOS",4.934,2.118,2019-06-02 05:45:00
"MOOS",4.934,2.079,2019-06-02 06:00:00
"MOOS",4.831,2.09,2019-06-02 06:15:00
"MOOS",4.831,2.072,2019-06-02 06:30:00
"MOOS",4.831,2.121,2019-06-02 06:45:00
"MOOS",4.831,2.069,2019-06-02 07:00:00
"MOOS",4.831,2.054,2019-06-02 07:15:00
"MOOS",4.727,2.05,2019-06-02 07:30:00
"MOOS",4.727,2.066,2019-06-02 07:45:00
"MOOS",4.727,2.041,2019-06-02 08:00:00
"MOOS",4.727,2.038,2019-06-02 08:15:00
"MOOS",4.727,2.031,2019-06-02 08:30:00
"MOOS",4.727,2.064,2019-06-02 08:45:00
"MOOS",4.623,2.003,2019-06-02 09:00:00
"MOOS",4.623,2.02,2019-06-02 09:15:00
"MOOS",4.623,2.058,2019-06-02 09:30:00
"MOOS",4.623,2.001,2019-06-02 09:45:00
"MOOS",4.623,1.991,2019-06-02 10:00:00
"MOOS",4.623,2.006,2019-06-02 10:15:00
"MOOS",4.519,1.982,2019-06-02 10:30:00
"MOOS",4.519,1.948,2019-06-02 10:45:00
"MOOS",4.519,1.969,2019-06-02 11:00:00
"MOOS",4.519,1.944,2019-06-02 11:15:00
"MOOS",4.519,1.898,2019-06-02 11:30:00
"MOOS",4.519,1.949,2019-06-02 11:45:00
"MOOS",4.519,1.936,2019-06-02 12:00:00
"MOOS",4.415,1.95,2019-06-02 12:15:00
"MOOS",4.415,1.884,2019-06-02 12:30:00
"MOOS",4.415,1.881,2019-06-02 12:45:00
"MOOS",4.415,1.898,2019-06-02 13:00:00
"MOOS",4.415,1.881,2019-06-02 13:15:00
"MOOS",4.415,1.908,2019-06-02 13:30:00
"MOOS",4.415,1.909,2019-06-02 13:45:00
"MOOS",4.415,1.838,2019-06-02 14:00:00
"MOOS",4.311,1.849,2019-06-02 14:15:00
"MOOS",4.311,1.884,2019-06-02 14:30:00
"MOOS",4.311,1.844,2019-06-02 14:45:00
"MOOS",4.311,1.819,2019-06-02 15:00:00
"MOOS",4.311,1.881,2019-06-02 15:15:00
"MOOS",4.311,1.828,2019-06-02 15:30:00
"MOOS",4.311,1.805,2019-06-02 15:45:00
"MOOS",4.311,1.834,2019-06-02 16:00:00
"MOOS",4.311,1.86,2019-06-02 16:15:00
"MOOS",4.311,1.803,2019-06-02 16:30:00
"MOOS",4.311,1.79,2019-06-02 16:45:00
"MOOS",4.311,1.782,2019-06-02 17:00:00
"MOOS",4.207,1.8,2019-06-02 17:15:00
"MOOS",4.207,1.762,2019-06-02 17:30:00
"MOOS",4.207,1.798,2019-06-02 17:45:00
"MOOS",4.207,1.754,2019-06-02 18:00:00
"MOOS",4.207,1.75,2019-06-02 18:15:00
"MOOS",4.207,1.74,2019-06-02 18:30:00
"MOOS",4.207,1.749,2019-06-02 18:45:00
"MOOS",4.207,1.732,2019-06-02 19:00:00
"MOOS",4.207,1.746,2019-06-02 19:15:00
"MOOS",4.207,1.726,2019-06-02 19:30:00
"MOOS",4.207,1.736,2019-06-02 19:45:00
"MOOS",4.207,1.721,2019-06-02 20:00:00
"MOOS",4.207,1.727,2019-06-02 20:15:00
"MOOS",4.207,1.722,2019-06-02 20:30:00
"MOOS",4.207,1.72,2019-06-02 20:45:00
"MOOS",4.207,1.699,2019-06-02 21:00:00
"MOOS",4.207,1.711,2019-06-02 21:15:00
"MOOS",4.207,1.713,2019-06-02 21:30:00
"MOOS",4.207,1.701,2019-06-02 21:45:00
"MOOS",4.207,1.702,2019-06-02 22:00:00
"MOOS",4.207,1.699,2019-06-02 22:15:00
"MOOS",4.207,1.692,2019-06-02 22:30:00
"MOOS",4.311,1.706,2019-06-02 22:45:00
"MOOS",4.311,1.692,2019-06-02 23:00:00
"MOOS",4.311,1.689,2019-06-02 23:15:00
"MOOS",4.311,1.693,2019-06-02 23:30:00
"MOOS",4.311,1.686,2019-06-02 23:45:00
"MOOS",4.311,1.681,2019-06-03 00:00:00
"MOOS",4.311,1.694,2019-06-03 00:15:00
"MOOS",4.311,1.684,2019-06-03 00:30:00
"MOOS",4.311,1.687,2019-06-03 00:45:00
"MOOS",4.311,1.675,2019-06-03 01:00:00
"MOOS",4.311,1.681,2019-06-03 01:15:00
"MOOS",4.311,1.674,2019-06-03 01:30:00
"MOOS",4.311,1.683,2019-06-03 01:45:00
"MOOS",4.311,1.673,2019-06-03 02:00:00
"MOOS",4.311,1.67,2019-06-03 02:15:00
"MOOS",4.311,1.664,2019-06-03 02:30:00
"MOOS",4.311,1.666,2019-06-03 02:45:00
"MOOS",4.311,1.667,2019-06-03 03:00:00
"MOOS",4.311,1.663,2019-06-03 03:15:00
"MOOS",4.311,1.658,2019-06-03 03:30:00
"MOOS",4.311,1.654,2019-06-03 03:45:00
"MOOS",4.311,1.656,2019-06-03 04:00:00
"MOOS",4.311,1.652,2019-06-03 04:15:00
"MOOS",4.311,1.657,2019-06-03 04:30:00
"MOOS",4.311,1.642,2019-06-03 04:45:00
"MOOS",4.311,1.642,2019-06-03 05:00:00
"MOOS",4.311,1.65,2019-06-03 05:15:00
"MOOS",4.311,1.637,2019-06-03 05:30:00
"MOOS",4.311,1.634,2019-06-03 05:45:00
"MOOS",4.415,1.634,2019-06-03 06:00:00
"MOOS",4.311,1.628,2019-06-03 06:15:00
"MOOS",4.311,1.624,2019-06-03 06:30:00
"MOOS",4.311,1.623,2019-06-03 06:45:00
"MOOS",4.311,1.625,2019-06-03 07:00:00
"MOOS",4.311,1.628,2019-06-03 07:15:00
"MOOS",4.311,1.622,2019-06-03 07:30:00
"MOOS",4.311,1.618,2019-06-03 07:45:00
"MOOS",4.311,1.616,2019-06-03 08:00:00
"MOOS",4.311,1.611,2019-06-03 08:15:00
"MOOS",4.311,1.609,2019-06-03 08:30:00
"MOOS",4.311,1.599,2019-06-03 08:45:00
"MOOS",4.311,1.603,2019-06-03 09:00:00
"MOOS",4.311,1.612,2019-06-03 09:15:00
"MOOS",4.311,1.603,2019-06-03 09:30:00
"MOOS",4.311,1.597,2019-06-03 09:45:00
"MOOS",4.311,1.598,2019-06-03 10:00:00
"MOOS",4.311,1.589,2019-06-03 10:15:00
"MOOS",4.311,1.593,2019-06-03 10:30:00
"MOOS",4.311,1.594,2019-06-03 10:45:00
"MOOS",4.311,1.584,2019-06-03 11:00:00
"MOOS",4.311,1.587,2019-06-03 11:15:00
"MOOS",4.311,1.584,2019-06-03 11:30:00
"MOOS",4.311,1.581,2019-06-03 11:45:00
"MOOS",4.311,1.572,2019-06-03 12:00:00
"MOOS",4.311,1.576,2019-06-03 12:15:00
"MOOS",4.207,1.574,2019-06-03 12:30:00
"MOOS",4.207,1.574,2019-06-03 12:45:00
"MOOS",4.207,1.574,2019-06-03 13:00:00
"MOOS",4.207,1.567,2019-06-03 13:15:00
"MOOS",4.207,1.563,2019-06-03 13:30:00
"MOOS",4.207,1.558,2019-06-03 13:45:00
"MOOS",4.207,1.563,2019-06-03 14:00:00
"MOOS",4.207,1.561,2019-06-03 14:15:00
"MOOS",4.207,1.562,2019-06-03 14:30:00
"MOOS",4.207,1.558,2019-06-03 14:45:00
"MOOS",4.207,1.551,2019-06-03 15:00:00
"MOOS",4.207,1.548,2019-06-03 15:15:00
"MOOS",4.207,1.55,2019-06-03 15:30:00
"MOOS",4.207,1.548,2019-06-03 15:45:00
"MOOS",4.207,1.544,2019-06-03 16:00:00
"MOOS",4.207,1.54,2019-06-03 16:15:00
"MOOS",4.207,1.537,2019-06-03 16:30:00
"MOOS",4.207,1.528,2019-06-03 16:45:00
"MOOS",4.207,1.531,2019-06-03 17:00:00
"MOOS",4.207,1.533,2019-06-03 17:15:00
"MOOS",4.311,1.529,2019-06-03 17:30:00
"MOOS",4.311,1.526,2019-06-03 17:45:00
"MOOS",4.311,1.524,2019-06-03 18:00:00
"MOOS",4.311,1.523,2019-06-03 18:15:00
"MOOS",4.311,1.518,2019-06-03 18:30:00
"MOOS",4.311,1.517,2019-06-03 18:45:00
"MOOS",4.311,1.517,2019-06-03 19:00:00
"MOOS",4.311,1.512,2019-06-03 19:15:00
"MOOS",4.311,1.509,2019-06-03 19:30:00
"MOOS",4.311,1.507,2019-06-03 19:45:00
"MOOS",4.415,1.503,2019-06-03 20:00:00
"MOOS",4.415,1.502,2019-06-03 20:15:00
"MOOS",4.415,1.498,2019-06-03 20:30:00
"MOOS",4.415,1.498,2019-06-03 20:45:00
"MOOS",4.415,1.493,2019-06-03 21:00:00
"MOOS",4.415,1.493,2019-06-03 21:15:00
"MOOS",4.415,1.489,2019-06-03 21:30:00
"MOOS",4.415,1.489,2019-06-03 21:45:00
"MOOS",4.415,1.487,2019-06-03 22:00:00
"MOOS",4.415,1.48,2019-06-03 22:15:00
"MOOS",4.519,1.482,2019-06-03 22:30:00
"MOOS",4.519,1.478,2019-06-03 22:45:00
"MOOS",4.519,1.475,2019-06-03 23:00:00
"MOOS",4.519,1.474,2019-06-03 23:15:00
"MOOS",4.519,1.467,2019-06-03 23:30:00
"MOOS",4.519,1.465,2019-06-03 23:45:00
"MOOS",4.519,1.463,2019-06-04 00:00:00
"MOOS",4.519,1.458,2019-06-04 00:15:00
"MOOS",4.623,1.46,2019-06-04 00:30:00
"MOOS",4.623,1.455,2019-06-04 00:45:00
"MOOS",4.623,1.452,2019-06-04 01:00:00
"MOOS",4.623,1.448,2019-06-04 01:15:00
"MOOS",4.623,1.445,2019-06-04 01:30:00
"MOOS",4.623,1.444,2019-06-04 01:45:00
"MOOS",4.623,1.442,2019-06-04 02:00:00
"MOOS",4.623,1.44,2019-06-04 02:15:00
"MOOS",4.623,1.438,2019-06-04 02:30:00
"MOOS",4.727,1.434,2019-06-04 02:45:00
"MOOS",4.727,1.428,2019-06-04 03:00:00
"MOOS",4.727,1.43,2019-06-04 03:15:00
"MOOS",4.727,1.427,2019-06-04 03:30:00
"MOOS",4.727,1.424,2019-06-04 03:45:00
"MOOS",4.727,1.423,2019-06-04 04:00:00
"MOOS",4.727,1.419,2019-06-04 04:15:00
"MOOS",4.727,1.417,2019-06-04 04:30:00
"MOOS",4.727,1.415,2019-06-04 04:45:00
"MOOS",4.727,1.412,2019-06-04 05:00:00
"MOOS",4.727,1.41,2019-06-04 05:15:00
"MOOS",4.727,1.41,2019-06-04 05:30:00
"MOOS",4.831,1.407,2019-06-04 05:45:00
"MOOS",4.831,1.407,2019-06-04 06:00:00
"MOOS",4.831,1.407,2019-06-04 06:15:00
"MOOS",4.831,1.401,2019-06-04 06:30:00
"MOOS",4.831,1.4,2019-06-04 06:45:00
"MOOS",4.831,1.4,2019-06-04 07:00:00
"MOOS",4.831,1.395,2019-06-04 07:15:00
"MOOS",4.831,1.395,2019-06-04 07:30:00
"MOOS",4.831,1.392,2019-06-04 07:45:00
"MOOS",4.831,1.394,2019-06-04 08:00:00
"MOOS",4.831,1.389,2019-06-04 08:15:00
"MOOS",4.831,1.388,2019-06-04 08:30:00
"MOOS",4.831,1.384,2019-06-04 08:45:00
"MOOS",4.831,1.382,2019-06-04 09:00:00
"MOOS",4.831,1.383,2019-06-04 09:15:00
"MOOS",4.831,1.38,2019-06-04 09:30:00
"MOOS",4.831,1.377,2019-06-04 09:45:00
"MOOS",4.831,1.375,2019-06-04 10:00:00
"MOOS",4.831,1.375,2019-06-04 10:15:00
"MOOS",4.831,1.372,2019-06-04 10:30:00
"MOOS",4.727,1.371,2019-06-04 10:45:00
"MOOS",4.727,1.368,2019-06-04 11:00:00
"MOOS",4.727,1.367,2019-06-04 11:15:00
"MOOS",4.727,1.364,2019-06-04 11:30:00
"MOOS",4.727,1.358,2019-06-04 11:45:00
"MOOS",4.727,1.359,2019-06-04 12:00:00
"MOOS",4.727,1.356,2019-06-04 12:15:00
"MOOS",4.727,1.354,2019-06-04 12:30:00
"MOOS",4.727,1.358,2019-06-04 12:45:00
"MOOS",4.727,1.356,2019-06-04 13:00:00
"MOOS",4.727,1.356,2019-06-04 13:15:00
"MOOS",4.727,1.351,2019-06-04 13:30:00
"MOOS",4.727,1.352,2019-06-04 13:45:00
"MOOS",4.727,1.352,2019-06-04 14:00:00
"MOOS",4.727,1.35,2019-06-04 14:15:00
"MOOS",4.727,1.35,2019-06-04 14:30:00
"MOOS",4.727,1.351,2019-06-04 14:45:00
"MOOS",4.727,1.347,2019-06-04 15:00:00
"MOOS",4.727,1.347,2019-06-04 15:15:00
"MOOS",4.727,1.349,2019-06-04 15:30:00
"MOOS",4.727,1.345,2019-06-04 15:45:00
"MOOS",4.727,1.344,2019-06-04 16:00:00
"MOOS",4.727,1.341,2019-06-04 16:15:00
"MOOS",4.727,1.345,2019-06-04 16:30:00
"MOOS",4.831,1.342,2019-06-04 16:45:00
"MOOS",4.831,1.34,2019-06-04 17:00:00
"MOOS",4.831,1.338,2019-06-04 17:15:00
"MOOS",4.831,1.336,2019-06-04 17:30:00
"MOOS",4.831,1.335,2019-06-04 17:45:00
"MOOS",4.831,1.333,2019-06-04 18:00:00
"MOOS",4.831,1.333,2019-06-04 18:15:00
"MOOS",4.831,1.334,2019-06-04 18:30:00
"MOOS",4.831,1.33,2019-06-04 18:45:00
"MOOS",4.831,1.328,2019-06-04 19:00:00
"MOOS",4.831,1.327,2019-06-04 19:15:00
"MOOS",4.831,1.328,2019-06-04 19:30:00
"MOOS",4.934,1.327,2019-06-04 19:45:00
"MOOS",4.934,1.325,2019-06-04 20:00:00
"MOOS",4.934,1.324,2019-06-04 20:15:00
"MOOS",4.934,1.321,2019-06-04 20:30:00
"MOOS",4.934,1.319,2019-06-04 20:45:00
"MOOS",4.934,1.318,2019-06-04 21:00:00
"MOOS",4.934,1.317,2019-06-04 21:15:00
"MOOS",4.934,1.315,2019-06-04 21:30:00
"MOOS",4.934,1.314,2019-06-04 21:45:00
"MOOS",5.037,1.314,2019-06-04 22:00:00
"MOOS",5.037,1.314,2019-06-04 22:15:00
"MOOS",5.037,1.312,2019-06-04 22:30:00
"MOOS",5.037,1.311,2019-06-04 22:45:00
"MOOS",5.037,1.307,2019-06-04 23:00:00
"MOOS",5.037,1.308,2019-06-04 23:15:00
"MOOS",5.037,1.306,2019-06-04 23:30:00
"MOOS",5.037,1.303,2019-06-04 23:45:00
"MOOS",5.037,1.302,2019-06-05 00:00:00
"MOOS",5.141,1.301,2019-06-05 00:15:00
"MOOS",5.141,1.298,2019-06-05 00:30:00
"MOOS",5.141,1.297,2019-06-05 00:45:00
"MOOS",5.141,1.297,2019-06-05 01:00:00
"MOOS",5.141,1.296,2019-06-05 01:15:00
"MOOS",5.141,1.295,2019-06-05 01:30:00
"MOOS",5.141,1.293,2019-06-05 01:45:00
"MOOS",5.141,1.29,2019-06-05 02:00:00
"MOOS",5.141,1.29,2019-06-05 02:15:00
"MOOS",5.141,1.29,2019-06-05 02:30:00
"MOOS",5.141,1.286,2019-06-05 02:45:00
"MOOS",5.141,1.283,2019-06-05 03:00:00
"MOOS",5.141,1.283,2019-06-05 03:15:00
"MOOS",5.141,1.282,2019-06-05 03:30:00
"MOOS",5.141,1.282,2019-06-05 03:45:00
"MOOS",5.141,1.276,2019-06-05 04:00:00
"MOOS",5.141,1.279,2019-06-05 04:15:00
"MOOS",5.244,1.279,2019-06-05 04:30:00
"MOOS",5.244,1.276,2019-06-05 04:45:00
"MOOS",5.244,1.273,2019-06-05 05:00:00
"MOOS",5.244,1.274,2019-06-05 05:15:00
"MOOS",5.244,1.273,2019-06-05 05:30:00
"MOOS",5.244,1.271,2019-06-05 05:45:00
"MOOS",5.244,1.269,2019-06-05 06:00:00
"MOOS",5.244,1.27,2019-06-05 06:15:00
"MOOS",5.244,1.27,2019-06-05 06:30:00
"MOOS",5.244,1.27,2019-06-05 06:45:00
"MOOS",5.244,1.265,2019-06-05 07:00:00
"MOOS",5.244,1.265,2019-06-05 07:15:00
"MOOS",5.244,1.265,2019-06-05 07:30:00
"MOOS",5.244,1.262,2019-06-05 07:45:00
"MOOS",5.244,1.263,2019-06-05 08:00:00
"MOOS",5.244,1.261,2019-06-05 08:15:00
"MOOS",5.244,1.26,2019-06-05 08:30:00
"MOOS",5.244,1.259,2019-06-05 08:45:00
"MOOS",5.244,1.258,2019-06-05 09:00:00
"MOOS",5.244,1.255,2019-06-05 09:15:00
"MOOS",5.244,1.256,2019-06-05 09:30:00
"MOOS",5.244,1.255,2019-06-05 09:45:00
"MOOS",5.244,1.254,2019-06-05 10:00:00
"MOOS",5.244,1.253,2019-06-05 10:15:00
"MOOS",5.244,1.25,2019-06-05 10:30:00
"MOOS",5.244,1.249,2019-06-05 10:45:00
"MOOS",5.244,1.251,2019-06-05 11:00:00
"MOOS",5.244,1.247,2019-06-05 11:15:00
"MOOS",5.141,1.245,2019-06-05 11:30:00
"MOOS",5.141,1.241,2019-06-05 11:45:00
"MOOS",5.244,1.243,2019-06-05 12:00:00
"MOOS",5.141,1.242,2019-06-05 12:15:00
"MOOS",5.141,1.24,2019-06-05 12:30:00
"MOOS",5.244,1.241,2019-06-05 12:45:00
"MOOS",5.244,1.242,2019-06-05 13:00:00
"MOOS",5.244,1.245,2019-06-05 13:15:00
"MOOS",5.244,1.241,2019-06-05 13:30:00
"MOOS",5.244,1.239,2019-06-05 13:45:00
"MOOS",5.244,1.24,2019-06-05 14:00:00
"MOOS",5.244,1.24,2019-06-05 14:15:00
"MOOS",5.244,1.239,2019-06-05 14:30:00
"MOOS",5.244,1.238,2019-06-05 14:45:00
"MOOS",5.244,1.237,2019-06-05 15:00:00
"MOOS",5.244,1.238,2019-06-05 15:15:00
"MOOS",5.244,1.237,2019-06-05 15:30:00
"MOOS",5.244,1.235,2019-06-05 15:45:00
"MOOS",5.244,1.237,2019-06-05 16:00:00
"MOOS",5.244,1.235,2019-06-05 16:15:00
"MOOS",5.244,1.234,2019-06-05 16:30:00
"MOOS",5.244,1.233,2019-06-05 16:45:00
"MOOS",5.244,1.232,2019-06-05 17:00:00
"MOOS",5.347,1.233,2019-06-05 17:15:00
"MOOS",5.347,1.232,2019-06-05 17:30:00
"MOOS",5.347,1.233,2019-06-05 17:45:00
"MOOS",5.347,1.228,2019-06-05 18:00:00
"MOOS",5.347,1.229,2019-06-05 18:15:00
"MOOS",5.347,1.227,2019-06-05 18:30:00
"MOOS",5.347,1.227,2019-06-05 18:45:00
"MOOS",5.347,1.226,2019-06-05 19:00:00
"MOOS",5.45,1.227,2019-06-05 19:15:00
"MOOS",5.45,1.227,2019-06-05 19:30:00
"MOOS",5.45,1.228,2019-06-05 19:45:00
"MOOS",5.45,1.224,2019-06-05 20:00:00
"MOOS",5.45,1.224,2019-06-05 20:15:00
"MOOS",5.45,1.223,2019-06-05 20:30:00
"MOOS",5.45,1.221,2019-06-05 20:45:00
"MOOS",5.552,1.222,2019-06-05 21:00:00
"MOOS",5.552,1.221,2019-06-05 21:15:00
"MOOS",5.552,1.221,2019-06-05 21:30:00
"MOOS",5.552,1.218,2019-06-05 21:45:00
"MOOS",5.552,1.217,2019-06-05 22:00:00
"MOOS",5.552,1.217,2019-06-05 22:15:00
"MOOS",5.552,1.217,2019-06-05 22:30:00
"MOOS",5.552,1.216,2019-06-05 22:45:00
"MOOS",5.552,1.215,2019-06-05 23:00:00
"MOOS",5.655,1.215,2019-06-05 23:15:00
"MOOS",5.655,1.213,2019-06-05 23:30:00
"MOOS",5.655,1.213,2019-06-05 23:45:00
"MOOS",5.655,1.21,2019-06-06 00:00:00
"MOOS",5.655,1.21,2019-06-06 00:15:00
"MOOS",5.655,1.209,2019-06-06 00:30:00
