"","DateTime","DateTimeAK","julian","MOOS","FRCH","POKE","VAUL","STRT","VAUL.Q.int","FRCH.Q.int","MOOS.Q.int","STRT.Q.int","POKE.Q.int"
"40","2021-05-05 02:45:00",2021-05-05 02:45:00,124.072916666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-05-05 03:00:00",2021-05-05 03:00:00,124.083333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-05-05 03:15:00",2021-05-05 03:15:00,124.09375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-05-05 03:30:00",2021-05-05 03:30:00,124.104166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-05-05 03:45:00",2021-05-05 03:45:00,124.114583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-05-05 04:00:00",2021-05-05 04:00:00,124.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-05-05 04:15:00",2021-05-05 04:15:00,124.135416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2021-05-05 04:30:00",2021-05-05 04:30:00,124.145833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2021-05-05 04:45:00",2021-05-05 04:45:00,124.15625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2021-05-05 05:00:00",2021-05-05 05:00:00,124.166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2021-05-05 05:15:00",2021-05-05 05:15:00,124.177083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2021-05-05 05:30:00",2021-05-05 05:30:00,124.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2021-05-05 05:45:00",2021-05-05 05:45:00,124.197916666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2021-05-05 06:00:00",2021-05-05 06:00:00,124.208333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2021-05-05 06:15:00",2021-05-05 06:15:00,124.21875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2021-05-05 06:30:00",2021-05-05 06:30:00,124.229166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2021-05-05 06:45:00",2021-05-05 06:45:00,124.239583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2021-05-05 07:00:00",2021-05-05 07:00:00,124.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","2021-05-05 07:15:00",2021-05-05 07:15:00,124.260416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2021-05-05 07:30:00",2021-05-05 07:30:00,124.270833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2021-05-05 07:45:00",2021-05-05 07:45:00,124.28125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2021-05-05 08:00:00",2021-05-05 08:00:00,124.291666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2021-05-05 08:15:00",2021-05-05 08:15:00,124.302083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","2021-05-05 08:30:00",2021-05-05 08:30:00,124.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2021-05-05 08:45:00",2021-05-05 08:45:00,124.322916666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
