"Day","Site","Q"
2021-07-16,"POKE",384.310148052661
2021-07-16,"STRT",NA
2021-07-16,"VAUL",95.9377669908709
2021-07-17,"FRCH",236.290952931045
2021-07-17,"MOOS",209.268264243335
2021-07-17,"POKE",379.02481320292
2021-07-17,"STRT",585.216646410403
2021-07-17,"VAUL",87.8315416224618
2021-07-18,"FRCH",232.107013295942
2021-07-18,"MOOS",198.341846689266
2021-07-18,"POKE",380.604119435052
2021-07-18,"STRT",575.378517392089
2021-07-18,"VAUL",89.440251296088
2021-07-19,"FRCH",233.489691633233
2021-07-19,"MOOS",210.95323734051
2021-07-19,"POKE",377.542629829892
2021-07-19,"STRT",644.4445939339
2021-07-19,"VAUL",81.0519794264601
2021-07-20,"FRCH",235.129526880047
2021-07-20,"MOOS",215.426378123257
2021-07-20,"POKE",367.686031565423
2021-07-20,"STRT",726.241394668818
2021-07-20,"VAUL",80.3155246732719
2021-07-21,"FRCH",227.481409211029
2021-07-21,"MOOS",200.46975076316
2021-07-21,"POKE",369.817509597101
2021-07-21,"STRT",971.560771758996
2021-07-21,"VAUL",88.0352418733441
2021-07-22,"FRCH",223.50407987262
2021-07-22,"MOOS",191.984665916257
2021-07-22,"POKE",363.068626265098
2021-07-22,"STRT",1029.830553979
2021-07-22,"VAUL",90.0826905488704
2021-07-23,"FRCH",228.248978009089
2021-07-23,"MOOS",306.384576613588
2021-07-23,"POKE",410.24556061406
2021-07-23,"STRT",1341.56029296196
2021-07-23,"VAUL",97.1913069962961
2021-07-24,"FRCH",259.737371468426
2021-07-24,"MOOS",498.737759401351
2021-07-24,"POKE",497.876716419357
2021-07-24,"STRT",1660.7022855825
2021-07-24,"VAUL",874.897972528294
2021-07-25,"FRCH",261.287513360088
2021-07-25,"MOOS",489.971977261893
2021-07-25,"POKE",494.416919195264
2021-07-25,"STRT",NA
2021-07-25,"VAUL",744.482804213956
2021-07-26,"FRCH",239.911256544971
2021-07-26,"MOOS",314.406832660388
2021-07-26,"POKE",450.998051153211
2021-07-26,"STRT",NA
2021-07-26,"VAUL",439.559197894475
2021-07-27,"FRCH",227.311735513289
2021-07-27,"MOOS",253.234839713548
2021-07-27,"POKE",433.155218405683
2021-07-27,"STRT",NA
2021-07-27,"VAUL",293.344202428428
2021-07-28,"FRCH",373.619452273346
2021-07-28,"MOOS",670.461848703445
2021-07-28,"POKE",577.291880655807
2021-07-28,"STRT",NA
2021-07-28,"VAUL",316.085507360171
2021-07-29,"FRCH",362.35339228399
2021-07-29,"MOOS",930.194157254107
2021-07-29,"POKE",584.733534011015
2021-07-29,"STRT",1002.0420485004
2021-07-29,"VAUL",396.729914375814
2021-07-30,"FRCH",293.87762228222
2021-07-30,"MOOS",555.249962107114
2021-07-30,"POKE",548.963050934543
2021-07-30,"STRT",869.973620572734
2021-07-30,"VAUL",314.069397184779
2021-07-31,"FRCH",266.691237190227
2021-07-31,"MOOS",423.307917370713
2021-07-31,"POKE",506.245015121608
2021-07-31,"STRT",803.186302792714
2021-07-31,"VAUL",242.758640126206
2021-08-01,"FRCH",243.03042938147
2021-08-01,"MOOS",321.181299535316
2021-08-01,"POKE",481.867325202568
2021-08-01,"STRT",759.978357471531
2021-08-01,"VAUL",199.521956105779
2021-08-02,"FRCH",229.874687939433
2021-08-02,"MOOS",267.431051431497
2021-08-02,"POKE",463.003009532717
2021-08-02,"STRT",NA
2021-08-02,"VAUL",168.580410305215
2021-08-03,"FRCH",219.857944362208
2021-08-03,"MOOS",229.973046632937
2021-08-03,"POKE",453.880396502194
2021-08-03,"STRT",NA
2021-08-03,"VAUL",148.837155219782
2021-08-04,"FRCH",209.330980124193
2021-08-04,"MOOS",227.113181597872
2021-08-04,"POKE",448.903702664396
2021-08-04,"STRT",652.361274853531
2021-08-04,"VAUL",139.785551763941
2021-08-05,"FRCH",200.808729582412
2021-08-05,"MOOS",180.505023262803
2021-08-05,"POKE",432.770569300275
2021-08-05,"STRT",735.544282043141
2021-08-05,"VAUL",128.195529797118
2021-08-06,"FRCH",217.314810202783
2021-08-06,"MOOS",295.513879111451
2021-08-06,"POKE",442.495138787099
2021-08-06,"STRT",924.863896676151
2021-08-06,"VAUL",132.144180814206
2021-08-07,"FRCH",273.571993254613
2021-08-07,"MOOS",559.929339873711
2021-08-07,"POKE",461.216801724424
2021-08-07,"STRT",982.583509441526
2021-08-07,"VAUL",149.834764140755
2021-08-08,"FRCH",258.201849733666
2021-08-08,"MOOS",491.205187993889
2021-08-08,"POKE",466.640061474391
2021-08-08,"STRT",1002.93689191891
2021-08-08,"VAUL",146.403198375914
2021-08-09,"FRCH",372.092194447525
2021-08-09,"MOOS",895.968350757578
2021-08-09,"POKE",583.759436123649
2021-08-09,"STRT",981.132883527136
2021-08-09,"VAUL",1021.44202224576
2021-08-10,"FRCH",359.042082653965
2021-08-10,"MOOS",1205.01347249868
2021-08-10,"POKE",585.766967645401
2021-08-10,"STRT",817.869664652674
2021-08-10,"VAUL",1196.20357914699
2021-08-11,"FRCH",323.944105894668
2021-08-11,"MOOS",780.264604708215
2021-08-11,"POKE",609.745553964136
2021-08-11,"STRT",808.393296739231
2021-08-11,"VAUL",694.10616524596
2021-08-12,"FRCH",291.327534050557
2021-08-12,"MOOS",308.117017663004
2021-08-12,"POKE",591.16690672184
2021-08-12,"STRT",713.983217279409
2021-08-12,"VAUL",458.743583060824
2021-08-13,"FRCH",285.933597074232
2021-08-13,"MOOS",180.257678412139
2021-08-13,"POKE",596.733680585058
2021-08-13,"STRT",686.965548081413
2021-08-13,"VAUL",369.366180674068
2021-08-14,"FRCH",267.83307642905
2021-08-14,"MOOS",106.657082178921
2021-08-14,"POKE",584.509527946561
2021-08-14,"STRT",644.942476470995
2021-08-14,"VAUL",322.306199637086
2021-08-15,"FRCH",266.426597248482
2021-08-15,"MOOS",81.0289254654284
2021-08-15,"POKE",630.659297072947
2021-08-15,"STRT",704.798223403521
2021-08-15,"VAUL",279.633608619096
2021-08-16,"FRCH",545.770133424739
2021-08-16,"MOOS",1223.61540582595
2021-08-16,"POKE",1004.2439921455
2021-08-16,"STRT",1636.33090094608
2021-08-16,"VAUL",409.771953515576
2021-08-17,"FRCH",660.405871829625
2021-08-17,"MOOS",2183.27827828015
2021-08-17,"POKE",1239.12300391849
2021-08-17,"STRT",1887.46260282495
2021-08-17,"VAUL",935.151462122357
2021-08-18,"FRCH",597.789436363251
2021-08-18,"MOOS",1975.53937158421
2021-08-18,"POKE",1031.83024872709
2021-08-18,"STRT",1695.25716139548
2021-08-18,"VAUL",878.355653709924
2021-08-19,"FRCH",462.968556370297
2021-08-19,"MOOS",1184.33737750848
2021-08-19,"POKE",860.480167604826
2021-08-19,"STRT",1372.46301100297
2021-08-19,"VAUL",530.602763871773
2021-08-20,"FRCH",543.695087405514
2021-08-20,"MOOS",1225.31332275427
2021-08-20,"POKE",927.026390609206
2021-08-20,"STRT",1372.107572936
2021-08-20,"VAUL",456.732695968789
2021-08-21,"FRCH",660.819656247875
2021-08-21,"MOOS",1582.2647171131
2021-08-21,"POKE",952.871355542256
2021-08-21,"STRT",1625.68687789737
2021-08-21,"VAUL",525.055849347776
2021-08-22,"FRCH",612.9958136878
2021-08-22,"MOOS",1436.12372742116
2021-08-22,"POKE",864.22188007999
2021-08-22,"STRT",1623.66817947525
2021-08-22,"VAUL",413.825066199786
2021-08-23,"FRCH",509.538338901966
2021-08-23,"MOOS",1068.45424196321
2021-08-23,"POKE",821.23767370533
2021-08-23,"STRT",1416.51631298131
2021-08-23,"VAUL",337.536710702998
2021-08-24,"FRCH",491.564675048827
2021-08-24,"MOOS",981.420658449425
2021-08-24,"POKE",862.165636215
2021-08-24,"STRT",1322.74192247234
2021-08-24,"VAUL",365.286952573087
2021-08-25,"FRCH",577.453310756692
2021-08-25,"MOOS",1414.85405103777
2021-08-25,"POKE",915.728056645178
2021-08-25,"STRT",1508.51324873418
