"Site.x","DateTime","MeanDischarge"
"MOOS",2020-06-16 23:00:00,994.370884826421
"MOOS",2020-06-16 23:15:00,993.285329755454
"MOOS",2020-06-16 23:30:00,991.731833002763
"MOOS",2020-06-16 23:45:00,990.795949639272
"MOOS",2020-06-17 00:00:00,990.64627793181
"MOOS",2020-06-17 00:15:00,989.41105115338
"MOOS",2020-06-17 00:30:00,988.175824374965
"MOOS",2020-06-17 00:45:00,986.622327622274
"MOOS",2020-06-17 01:00:00,986.771999329736
"MOOS",2020-06-17 01:15:00,986.154385940536
"MOOS",2020-06-17 01:30:00,985.686444258783
"MOOS",2020-06-17 01:45:00,985.686444258783
"MOOS",2020-06-17 02:00:00,984.60088918783
"MOOS",2020-06-17 02:15:00,983.04739243511
"MOOS",2020-06-17 02:30:00,981.961837364172
"MOOS",2020-06-17 02:45:00,980.258668904004
"MOOS",2020-06-17 03:00:00,981.812165656695
"MOOS",2020-06-17 03:15:00,980.258668904004
"MOOS",2020-06-17 03:30:00,979.790727222266
"MOOS",2020-06-17 03:45:00,978.85484385876
"MOOS",2020-06-17 04:00:00,976.534062009392
"MOOS",2020-06-17 04:15:00,976.534062009392
"MOOS",2020-06-17 04:30:00,973.42706850401
"MOOS",2020-06-17 04:45:00,972.341513433043
"MOOS",2020-06-17 05:00:00,970.638344972875
"MOOS",2020-06-17 05:15:00,969.552789901936
"MOOS",2020-06-17 05:30:00,969.084848220184
"MOOS",2020-06-17 05:45:00,968.467234830983
"MOOS",2020-06-17 06:00:00,966.614394663353
"MOOS",2020-06-17 06:15:00,967.38167976003
"MOOS",2020-06-17 06:30:00,967.06340978574
"MOOS",2020-06-17 06:45:00,966.146452981615
"MOOS",2020-06-17 07:00:00,966.913738078278
"MOOS",2020-06-17 07:15:00,964.742627936372
"MOOS",2020-06-17 07:30:00,964.125014547157
"MOOS",2020-06-17 07:45:00,965.82818300731
"MOOS",2020-06-17 08:00:00,965.82818300731
"MOOS",2020-06-17 08:15:00,964.742627936372
"MOOS",2020-06-17 08:30:00,964.592956228895
"MOOS",2020-06-17 08:45:00,962.889787768741
"MOOS",2020-06-17 09:00:00,964.742627936372
"MOOS",2020-06-17 09:15:00,964.592956228895
"MOOS",2020-06-17 09:30:00,962.889787768741
"MOOS",2020-06-17 09:45:00,963.189131183681
"MOOS",2020-06-17 10:00:00,961.953904405265
"MOOS",2020-06-17 10:15:00,961.01802104176
"MOOS",2020-06-17 10:30:00,962.253247820176
"MOOS",2020-06-17 10:45:00,962.421846087003
"MOOS",2020-06-17 11:00:00,961.804232697788
"MOOS",2020-06-17 11:15:00,962.421846087003
"MOOS",2020-06-17 11:30:00,962.421846087003
"MOOS",2020-06-17 11:45:00,961.804232697788
"MOOS",2020-06-17 12:00:00,961.33629101605
