"","Site","DateTime","MeanDischarge"
"236","STRT",2020-06-19 19:15:00,1441.60244352982
"237","STRT",2020-06-19 19:30:00,1437.26823936886
"238","STRT",2020-06-19 19:45:00,1441.60244352982
"239","STRT",2020-06-19 20:00:00,1438.71297408914
"240","STRT",2020-06-19 20:15:00,1440.15770880948
"241","STRT",2020-06-19 20:30:00,1435.82350464852
"242","STRT",2020-06-19 20:45:00,1437.26823936886
"243","STRT",2020-06-19 21:00:00,1434.37876992818
"244","STRT",2020-06-19 21:15:00,1424.26562688604
"245","STRT",2020-06-19 21:30:00,1437.26823936886
"246","STRT",2020-06-19 21:45:00,1440.15770880948
"247","STRT",2020-06-19 22:00:00,1440.15770880948
"248","STRT",2020-06-19 22:15:00,1435.82350464852
"249","STRT",2020-06-19 22:30:00,1430.04456576728
"250","STRT",2020-06-19 22:45:00,1432.9340352079
"251","STRT",2020-06-19 23:00:00,1430.04456576728
"252","STRT",2020-06-19 23:15:00,1427.15509632666
"253","STRT",2020-06-19 23:30:00,1428.59983104694
"254","STRT",2020-06-19 23:45:00,1425.71036160633
"255","STRT",2020-06-20 00:00:00,1424.26562688604
"256","STRT",2020-06-20 00:15:00,1425.71036160633
"257","STRT",2020-06-20 00:30:00,1421.37615744543
"258","STRT",2020-06-20 00:45:00,1422.82089216571
"259","STRT",2020-06-20 01:00:00,1417.04195328441
"260","STRT",2020-06-20 01:15:00,1417.04195328441
"261","STRT",2020-06-20 01:30:00,1421.37615744543
"262","STRT",2020-06-20 01:45:00,1415.59721856419
"263","STRT",2020-06-20 02:00:00,1409.81827968289
"264","STRT",2020-06-20 02:15:00,1411.26301440317
"265","STRT",2020-06-20 02:30:00,1409.81827968289
"266","STRT",2020-06-20 02:45:00,1411.26301440317
"267","STRT",2020-06-20 03:00:00,1404.03934080165
"268","STRT",2020-06-20 03:15:00,1402.59460608131
"269","STRT",2020-06-20 03:30:00,1402.59460608131
"270","STRT",2020-06-20 03:45:00,1396.81566720008
"271","STRT",2020-06-20 04:00:00,1389.5919935985
"272","STRT",2020-06-20 04:15:00,1398.26040192042
"273","STRT",2020-06-20 04:30:00,1399.7051366407
"274","STRT",2020-06-20 04:45:00,1399.7051366407
"275","STRT",2020-06-20 05:00:00,1395.37093247974
"276","STRT",2020-06-20 05:15:00,1393.92619775946
"277","STRT",2020-06-20 05:30:00,1393.92619775946
"278","STRT",2020-06-20 05:45:00,1405.48407552193
"279","STRT",2020-06-20 06:00:00,1402.59460608131
"280","STRT",2020-06-20 06:15:00,1395.37093247974
"281","STRT",2020-06-20 06:30:00,1402.59460608131
"282","STRT",2020-06-20 06:45:00,1404.03934080165
"283","STRT",2020-06-20 07:00:00,1408.37354496255
"284","STRT",2020-06-20 07:15:00,1402.59460608131
"285","STRT",2020-06-20 07:30:00,1393.92619775946
"286","STRT",2020-06-20 07:45:00,1404.03934080165
"287","STRT",2020-06-20 08:00:00,1415.59721856419
